split=0.9, train_len=54000, eval_len=6000, epoch=3, train_accuracy=0.9970740740740741, eval_accuracy=0.9693333333333334
split=0.1, train_len=6000, eval_len=54000, epoch=0, train_accuracy=0.8523333333333334, eval_accuracy=0.9025555555555556
split=0.1, train_len=6000, eval_len=54000, epoch=1, train_accuracy=0.9676666666666667, eval_accuracy=0.9178518518518518
split=0.1, train_len=6000, eval_len=54000, epoch=2, train_accuracy=0.9896666666666667, eval_accuracy=0.9214629629629629
split=0.1, train_len=6000, eval_len=54000, epoch=3, train_accuracy=0.997, eval_accuracy=0.9234444444444444
split=0.2, train_len=12000, eval_len=48000, epoch=0, train_accuracy=0.88425, eval_accuracy=0.9270833333333334
split=0.2, train_len=12000, eval_len=48000, epoch=1, train_accuracy=0.9719166666666667, eval_accuracy=0.936
split=0.2, train_len=12000, eval_len=48000, epoch=2, train_accuracy=0.9909166666666667, eval_accuracy=0.938
split=0.2, train_len=12000, eval_len=48000, epoch=3, train_accuracy=0.997, eval_accuracy=0.9391666666666667
split=0.5, train_len=30000, eval_len=30000, epoch=0, train_accuracy=0.9172, eval_accuracy=0.9466
split=0.5, train_len=30000, eval_len=30000, epoch=1, train_accuracy=0.9777666666666667, eval_accuracy=0.9526666666666667
split=0.5, train_len=30000, eval_len=30000, epoch=2, train_accuracy=0.993, eval_accuracy=0.9544666666666667
split=0.5, train_len=30000, eval_len=30000, epoch=3, train_accuracy=0.9977333333333334, eval_accuracy=0.9542
split=0.8, train_len=48000, eval_len=12000, epoch=0, train_accuracy=0.9300208333333333, eval_accuracy=0.9573333333333334
split=0.8, train_len=48000, eval_len=12000, epoch=1, train_accuracy=0.9791875, eval_accuracy=0.9615
split=0.8, train_len=48000, eval_len=12000, epoch=2, train_accuracy=0.9917916666666666, eval_accuracy=0.9629166666666666
split=0.8, train_len=48000, eval_len=12000, epoch=3, train_accuracy=0.9974166666666666, eval_accuracy=0.9621666666666666
split=0.9, train_len=54000, eval_len=6000, epoch=0, train_accuracy=0.9317592592592593, eval_accuracy=0.9651666666666666
split=0.9, train_len=54000, eval_len=6000, epoch=1, train_accuracy=0.979037037037037, eval_accuracy=0.9686666666666667
split=0.9, train_len=54000, eval_len=6000, epoch=2, train_accuracy=0.992037037037037, eval_accuracy=0.9691666666666666
split=0.9, train_len=54000, eval_len=6000, epoch=3, train_accuracy=0.9970555555555556, eval_accuracy=0.9685
split=20, train_len=20, eval_len=59980, epoch=0, train_accuracy=0.2, eval_accuracy=0.22992664221407136
split=20, train_len=20, eval_len=59980, epoch=1, train_accuracy=1.0, eval_accuracy=0.3111037012337446
split=20, train_len=20, eval_len=59980, epoch=2, train_accuracy=1.0, eval_accuracy=0.35155051683894634
split=20, train_len=20, eval_len=59980, epoch=3, train_accuracy=1.0, eval_accuracy=0.3730576858952984
split=1000, train_len=1000, eval_len=59000, epoch=0, train_accuracy=0.653, eval_accuracy=0.7930847457627118
split=1000, train_len=1000, eval_len=59000, epoch=1, train_accuracy=0.964, eval_accuracy=0.8173389830508475
split=1000, train_len=1000, eval_len=59000, epoch=2, train_accuracy=0.982, eval_accuracy=0.8283559322033899
split=1000, train_len=1000, eval_len=59000, epoch=3, train_accuracy=0.996, eval_accuracy=0.8338305084745763
split=100, train_len=100, eval_len=59900, epoch=0, train_accuracy=0.2, eval_accuracy=0.5225876460767946
split=100, train_len=100, eval_len=59900, epoch=1, train_accuracy=1.0, eval_accuracy=0.5795659432387312
split=100, train_len=100, eval_len=59900, epoch=2, train_accuracy=1.0, eval_accuracy=0.5889315525876461
split=100, train_len=100, eval_len=59900, epoch=3, train_accuracy=1.0, eval_accuracy=0.5920701168614357
