split=0.9, train_len=54000, eval_len=6000, epoch=3, train_accuracy=0.6588703703703703, eval_accuracy=0.6536666666666666
split=0.1, train_len=6000, eval_len=54000, epoch=0, train_accuracy=0.4835, eval_accuracy=0.5654814814814815
split=0.1, train_len=6000, eval_len=54000, epoch=1, train_accuracy=0.6273333333333333, eval_accuracy=0.5761481481481482
split=0.1, train_len=6000, eval_len=54000, epoch=2, train_accuracy=0.6451666666666667, eval_accuracy=0.5820185185185185
split=0.1, train_len=6000, eval_len=54000, epoch=3, train_accuracy=0.6538333333333334, eval_accuracy=0.5828703703703704
split=0.2, train_len=12000, eval_len=48000, epoch=0, train_accuracy=0.5458333333333333, eval_accuracy=0.5823125
split=0.2, train_len=12000, eval_len=48000, epoch=1, train_accuracy=0.6295, eval_accuracy=0.5895625
split=0.2, train_len=12000, eval_len=48000, epoch=2, train_accuracy=0.6405833333333333, eval_accuracy=0.5953958333333333
split=0.2, train_len=12000, eval_len=48000, epoch=3, train_accuracy=0.6503333333333333, eval_accuracy=0.5995416666666666
split=0.5, train_len=30000, eval_len=30000, epoch=0, train_accuracy=0.5782333333333334, eval_accuracy=0.6005333333333334
split=0.5, train_len=30000, eval_len=30000, epoch=1, train_accuracy=0.6230666666666667, eval_accuracy=0.6129333333333333
split=0.5, train_len=30000, eval_len=30000, epoch=2, train_accuracy=0.6383333333333333, eval_accuracy=0.6213666666666666
split=0.5, train_len=30000, eval_len=30000, epoch=3, train_accuracy=0.6516333333333333, eval_accuracy=0.6279
split=0.8, train_len=48000, eval_len=12000, epoch=0, train_accuracy=0.58425, eval_accuracy=0.61675
split=0.8, train_len=48000, eval_len=12000, epoch=1, train_accuracy=0.6286041666666666, eval_accuracy=0.6299166666666667
split=0.8, train_len=48000, eval_len=12000, epoch=2, train_accuracy=0.644875, eval_accuracy=0.6396666666666667
split=0.8, train_len=48000, eval_len=12000, epoch=3, train_accuracy=0.65675, eval_accuracy=0.6475
split=0.9, train_len=54000, eval_len=6000, epoch=0, train_accuracy=0.5891481481481482, eval_accuracy=0.6216666666666667
split=0.9, train_len=54000, eval_len=6000, epoch=1, train_accuracy=0.6309074074074074, eval_accuracy=0.6386666666666667
split=0.9, train_len=54000, eval_len=6000, epoch=2, train_accuracy=0.6465925925925926, eval_accuracy=0.6486666666666666
split=0.9, train_len=54000, eval_len=6000, epoch=3, train_accuracy=0.6586111111111111, eval_accuracy=0.65
split=20, train_len=20, eval_len=59980, epoch=0, train_accuracy=0.2, eval_accuracy=0.11667222407469156
split=20, train_len=20, eval_len=59980, epoch=1, train_accuracy=0.3, eval_accuracy=0.11915638546182061
split=20, train_len=20, eval_len=59980, epoch=2, train_accuracy=0.35, eval_accuracy=0.12235745248416138
split=20, train_len=20, eval_len=59980, epoch=3, train_accuracy=0.5, eval_accuracy=0.12735911970656885
split=1000, train_len=1000, eval_len=59000, epoch=0, train_accuracy=0.205, eval_accuracy=0.36591525423728816
split=1000, train_len=1000, eval_len=59000, epoch=1, train_accuracy=0.639, eval_accuracy=0.4594576271186441
split=1000, train_len=1000, eval_len=59000, epoch=2, train_accuracy=0.758, eval_accuracy=0.478728813559322
split=1000, train_len=1000, eval_len=59000, epoch=3, train_accuracy=0.796, eval_accuracy=0.4859661016949153
split=100, train_len=100, eval_len=59900, epoch=0, train_accuracy=0.07, eval_accuracy=0.10191986644407346
split=100, train_len=100, eval_len=59900, epoch=1, train_accuracy=0.2, eval_accuracy=0.1233889816360601
split=100, train_len=100, eval_len=59900, epoch=2, train_accuracy=0.47, eval_accuracy=0.14651085141903172
split=100, train_len=100, eval_len=59900, epoch=3, train_accuracy=0.72, eval_accuracy=0.1667779632721202
