split=0.1, train_len=6000, eval_len=54000, epoch=0, train_accuracy=0.308, eval_accuracy=0.5403888888888889
split=0.1, train_len=6000, eval_len=54000, epoch=1, train_accuracy=0.714, eval_accuracy=0.7687777777777778
split=0.2, train_len=12000, eval_len=48000, epoch=0, train_accuracy=0.4344166666666667, eval_accuracy=0.7363333333333333
split=0.2, train_len=12000, eval_len=48000, epoch=1, train_accuracy=0.8296666666666667, eval_accuracy=0.8509375
split=0.5, train_len=30000, eval_len=30000, epoch=0, train_accuracy=0.6774666666666667, eval_accuracy=0.8677666666666667
split=0.5, train_len=30000, eval_len=30000, epoch=1, train_accuracy=0.8691333333333333, eval_accuracy=0.8698333333333333
split=0.8, train_len=48000, eval_len=12000, epoch=0, train_accuracy=0.7578125, eval_accuracy=0.8796666666666667
split=0.8, train_len=48000, eval_len=12000, epoch=1, train_accuracy=0.8690625, eval_accuracy=0.87925
split=0.9, train_len=54000, eval_len=6000, epoch=0, train_accuracy=0.7570370370370371, eval_accuracy=0.8913333333333333
split=0.9, train_len=54000, eval_len=6000, epoch=1, train_accuracy=0.8679074074074075, eval_accuracy=0.8918333333333334
split=0.1, train_len=6000, eval_len=54000, epoch=0, train_accuracy=0.31683333333333336, eval_accuracy=0.4817777777777778
split=0.1, train_len=6000, eval_len=54000, epoch=1, train_accuracy=0.6695, eval_accuracy=0.7496296296296296
split=0.1, train_len=6000, eval_len=54000, epoch=2, train_accuracy=0.8238333333333333, eval_accuracy=0.8308148148148148
split=0.1, train_len=6000, eval_len=54000, epoch=3, train_accuracy=0.865, eval_accuracy=0.848925925925926
split=0.8, train_len=48000, eval_len=12000, epoch=0, train_accuracy=0.7533333333333333, eval_accuracy=0.87775
split=0.8, train_len=48000, eval_len=12000, epoch=1, train_accuracy=0.8690416666666667, eval_accuracy=0.8785833333333334
split=0.8, train_len=48000, eval_len=12000, epoch=2, train_accuracy=0.8694583333333333, eval_accuracy=0.878
split=0.8, train_len=48000, eval_len=12000, epoch=3, train_accuracy=0.8698333333333333, eval_accuracy=0.878
