split=0.1, train_len=6000, eval_len=54000, epoch=0, train_accuracy=0.8753333333333333, eval_accuracy=0.916074074074074
split=0.1, train_len=6000, eval_len=54000, epoch=1, train_accuracy=0.9405, eval_accuracy=0.927074074074074
split=0.2, train_len=12000, eval_len=48000, epoch=0, train_accuracy=0.8955833333333333, eval_accuracy=0.9268125
split=0.2, train_len=12000, eval_len=48000, epoch=1, train_accuracy=0.9475833333333333, eval_accuracy=0.9357083333333334
split=0.5, train_len=30000, eval_len=30000, epoch=0, train_accuracy=0.9193333333333333, eval_accuracy=0.9416
split=0.5, train_len=30000, eval_len=30000, epoch=1, train_accuracy=0.9538333333333333, eval_accuracy=0.9469666666666666
split=0.8, train_len=48000, eval_len=12000, epoch=0, train_accuracy=0.9294166666666667, eval_accuracy=0.9523333333333334
split=0.8, train_len=48000, eval_len=12000, epoch=1, train_accuracy=0.9542083333333333, eval_accuracy=0.95475
split=0.9, train_len=54000, eval_len=6000, epoch=0, train_accuracy=0.9301481481481482, eval_accuracy=0.9565
split=0.9, train_len=54000, eval_len=6000, epoch=1, train_accuracy=0.9550185185185185, eval_accuracy=0.9598333333333333
split=0.1, train_len=6000, eval_len=54000, epoch=0, train_accuracy=0.8726666666666667, eval_accuracy=0.9169259259259259
split=0.1, train_len=6000, eval_len=54000, epoch=1, train_accuracy=0.94, eval_accuracy=0.9262962962962963
split=0.1, train_len=6000, eval_len=54000, epoch=2, train_accuracy=0.9556666666666667, eval_accuracy=0.9290925925925926
split=0.1, train_len=6000, eval_len=54000, epoch=3, train_accuracy=0.9651666666666666, eval_accuracy=0.9316666666666666
split=0.8, train_len=48000, eval_len=12000, epoch=0, train_accuracy=0.9273541666666667, eval_accuracy=0.9500833333333333
split=0.8, train_len=48000, eval_len=12000, epoch=1, train_accuracy=0.9550833333333333, eval_accuracy=0.95425
split=0.8, train_len=48000, eval_len=12000, epoch=2, train_accuracy=0.9616041666666667, eval_accuracy=0.9536666666666667
split=0.8, train_len=48000, eval_len=12000, epoch=3, train_accuracy=0.9671458333333334, eval_accuracy=0.9544166666666667
