split=0.1, train_len=6000, eval_len=54000, epoch=0, train_accuracy=0.8206666666666667, eval_accuracy=0.8779814814814815
split=0.1, train_len=6000, eval_len=54000, epoch=1, train_accuracy=0.913, eval_accuracy=0.8909814814814815
split=0.2, train_len=12000, eval_len=48000, epoch=0, train_accuracy=0.8525, eval_accuracy=0.8913125
split=0.2, train_len=12000, eval_len=48000, epoch=1, train_accuracy=0.9195833333333333, eval_accuracy=0.9041666666666667
split=0.5, train_len=30000, eval_len=30000, epoch=0, train_accuracy=0.8846666666666667, eval_accuracy=0.9132666666666667
split=0.5, train_len=30000, eval_len=30000, epoch=1, train_accuracy=0.928, eval_accuracy=0.9203333333333333
split=0.8, train_len=48000, eval_len=12000, epoch=0, train_accuracy=0.8945208333333333, eval_accuracy=0.9240833333333334
split=0.8, train_len=48000, eval_len=12000, epoch=1, train_accuracy=0.9310416666666667, eval_accuracy=0.9299166666666666
split=0.9, train_len=54000, eval_len=6000, epoch=0, train_accuracy=0.8976851851851851, eval_accuracy=0.9371666666666667
split=0.9, train_len=54000, eval_len=6000, epoch=1, train_accuracy=0.9307777777777778, eval_accuracy=0.9363333333333334
split=0.1, train_len=6000, eval_len=54000, epoch=0, train_accuracy=0.8166666666666667, eval_accuracy=0.8761851851851852
split=0.1, train_len=6000, eval_len=54000, epoch=1, train_accuracy=0.913, eval_accuracy=0.8904444444444445
split=0.2, train_len=12000, eval_len=48000, epoch=0, train_accuracy=0.8515, eval_accuracy=0.8916666666666667
split=0.2, train_len=12000, eval_len=48000, epoch=1, train_accuracy=0.9218333333333333, eval_accuracy=0.9044166666666666
split=0.5, train_len=30000, eval_len=30000, epoch=0, train_accuracy=0.8807333333333334, eval_accuracy=0.9128666666666667
split=0.5, train_len=30000, eval_len=30000, epoch=1, train_accuracy=0.9278666666666666, eval_accuracy=0.9209333333333334
split=0.8, train_len=48000, eval_len=12000, epoch=0, train_accuracy=0.8959791666666667, eval_accuracy=0.9238333333333333
split=0.8, train_len=48000, eval_len=12000, epoch=1, train_accuracy=0.9315, eval_accuracy=0.9274166666666667
split=0.9, train_len=54000, eval_len=6000, epoch=0, train_accuracy=0.8983703703703704, eval_accuracy=0.9348333333333333
split=0.9, train_len=54000, eval_len=6000, epoch=1, train_accuracy=0.9310555555555555, eval_accuracy=0.9381666666666667
split=0.1, train_len=6000, eval_len=54000, epoch=0, train_accuracy=0.8136666666666666, eval_accuracy=0.8740925925925926
split=0.1, train_len=6000, eval_len=54000, epoch=1, train_accuracy=0.9115, eval_accuracy=0.8903703703703704
split=0.1, train_len=6000, eval_len=54000, epoch=2, train_accuracy=0.9313333333333333, eval_accuracy=0.8966481481481482
split=0.1, train_len=6000, eval_len=54000, epoch=3, train_accuracy=0.9441666666666667, eval_accuracy=0.9006851851851851
split=0.8, train_len=48000, eval_len=12000, epoch=0, train_accuracy=0.8956041666666666, eval_accuracy=0.9225833333333333
split=0.8, train_len=48000, eval_len=12000, epoch=1, train_accuracy=0.9301666666666667, eval_accuracy=0.92775
split=0.8, train_len=48000, eval_len=12000, epoch=2, train_accuracy=0.9402916666666666, eval_accuracy=0.9295833333333333
split=0.8, train_len=48000, eval_len=12000, epoch=3, train_accuracy=0.94625, eval_accuracy=0.9294166666666667
