split=0.1, train_len=6000, eval_len=54000, epoch=0, train_accuracy=0.869, eval_accuracy=0.9061296296296296
split=0.1, train_len=6000, eval_len=54000, epoch=1, train_accuracy=0.9603333333333334, eval_accuracy=0.9189259259259259
split=0.2, train_len=12000, eval_len=48000, epoch=0, train_accuracy=0.8944166666666666, eval_accuracy=0.9226875
split=0.2, train_len=12000, eval_len=48000, epoch=1, train_accuracy=0.9670833333333333, eval_accuracy=0.9323541666666667
split=0.5, train_len=30000, eval_len=30000, epoch=0, train_accuracy=0.9190333333333334, eval_accuracy=0.9429666666666666
split=0.5, train_len=30000, eval_len=30000, epoch=1, train_accuracy=0.9715, eval_accuracy=0.9493666666666667
split=0.8, train_len=48000, eval_len=12000, epoch=0, train_accuracy=0.9273958333333333, eval_accuracy=0.9526666666666667
split=0.8, train_len=48000, eval_len=12000, epoch=1, train_accuracy=0.9728541666666667, eval_accuracy=0.957
split=0.9, train_len=54000, eval_len=6000, epoch=0, train_accuracy=0.9306296296296296, eval_accuracy=0.9613333333333334
split=0.9, train_len=54000, eval_len=6000, epoch=1, train_accuracy=0.9726666666666667, eval_accuracy=0.9661666666666666
split=0.1, train_len=6000, eval_len=54000, epoch=0, train_accuracy=0.872, eval_accuracy=0.907
split=0.1, train_len=6000, eval_len=54000, epoch=1, train_accuracy=0.962, eval_accuracy=0.9185185185185185
split=0.1, train_len=6000, eval_len=54000, epoch=2, train_accuracy=0.9843333333333333, eval_accuracy=0.9236481481481481
split=0.1, train_len=6000, eval_len=54000, epoch=3, train_accuracy=0.9928333333333333, eval_accuracy=0.9254074074074075
split=0.8, train_len=48000, eval_len=12000, epoch=0, train_accuracy=0.9282083333333333, eval_accuracy=0.9525
split=0.8, train_len=48000, eval_len=12000, epoch=1, train_accuracy=0.9731458333333334, eval_accuracy=0.9555
split=0.8, train_len=48000, eval_len=12000, epoch=2, train_accuracy=0.9882291666666667, eval_accuracy=0.9565
split=0.8, train_len=48000, eval_len=12000, epoch=3, train_accuracy=0.9949583333333333, eval_accuracy=0.9570833333333333
