split=0.1, train_len=6000, eval_len=54000, epoch=0, train_accuracy=0.7506666666666667, eval_accuracy=0.7922407407407407
split=0.1, train_len=6000, eval_len=54000, epoch=1, train_accuracy=0.8633333333333333, eval_accuracy=0.8117962962962963
split=0.2, train_len=12000, eval_len=48000, epoch=0, train_accuracy=0.77525, eval_accuracy=0.8149166666666666
split=0.2, train_len=12000, eval_len=48000, epoch=1, train_accuracy=0.8698333333333333, eval_accuracy=0.8364166666666667
split=0.5, train_len=30000, eval_len=30000, epoch=0, train_accuracy=0.8112, eval_accuracy=0.8473
split=0.5, train_len=30000, eval_len=30000, epoch=1, train_accuracy=0.8834, eval_accuracy=0.8654
split=0.8, train_len=48000, eval_len=12000, epoch=0, train_accuracy=0.8263333333333334, eval_accuracy=0.87025
split=0.8, train_len=48000, eval_len=12000, epoch=1, train_accuracy=0.8897083333333333, eval_accuracy=0.8815
split=0.9, train_len=54000, eval_len=6000, epoch=0, train_accuracy=0.8299074074074074, eval_accuracy=0.885
split=0.9, train_len=54000, eval_len=6000, epoch=1, train_accuracy=0.8907777777777778, eval_accuracy=0.8955
split=0.1, train_len=6000, eval_len=54000, epoch=0, train_accuracy=0.7406666666666667, eval_accuracy=0.7912777777777777
split=0.1, train_len=6000, eval_len=54000, epoch=1, train_accuracy=0.8671666666666666, eval_accuracy=0.8116296296296296
split=0.2, train_len=12000, eval_len=48000, epoch=0, train_accuracy=0.7720833333333333, eval_accuracy=0.8143333333333334
split=0.2, train_len=12000, eval_len=48000, epoch=1, train_accuracy=0.8694166666666666, eval_accuracy=0.8369375
split=0.5, train_len=30000, eval_len=30000, epoch=0, train_accuracy=0.8122333333333334, eval_accuracy=0.8469
split=0.5, train_len=30000, eval_len=30000, epoch=1, train_accuracy=0.8833, eval_accuracy=0.8654666666666667
split=0.8, train_len=48000, eval_len=12000, epoch=0, train_accuracy=0.8273541666666666, eval_accuracy=0.8699166666666667
split=0.8, train_len=48000, eval_len=12000, epoch=1, train_accuracy=0.889375, eval_accuracy=0.8808333333333334
split=0.9, train_len=54000, eval_len=6000, epoch=0, train_accuracy=0.8287777777777777, eval_accuracy=0.884
split=0.9, train_len=54000, eval_len=6000, epoch=1, train_accuracy=0.890537037037037, eval_accuracy=0.8938333333333334
