split=0.1, train_len=6000, eval_len=54000, epoch=0, train_accuracy=0.881, eval_accuracy=0.9343518518518519
split=0.1, train_len=6000, eval_len=54000, epoch=1, train_accuracy=0.9578333333333333, eval_accuracy=0.9429074074074074
split=0.2, train_len=12000, eval_len=48000, epoch=0, train_accuracy=0.9133333333333333, eval_accuracy=0.9441875
split=0.2, train_len=12000, eval_len=48000, epoch=1, train_accuracy=0.9634166666666667, eval_accuracy=0.9502291666666667
split=0.5, train_len=30000, eval_len=30000, epoch=0, train_accuracy=0.9365666666666667, eval_accuracy=0.9546
split=0.5, train_len=30000, eval_len=30000, epoch=1, train_accuracy=0.9698333333333333, eval_accuracy=0.9611
split=0.8, train_len=48000, eval_len=12000, epoch=0, train_accuracy=0.9443333333333334, eval_accuracy=0.9636666666666667
split=0.8, train_len=48000, eval_len=12000, epoch=1, train_accuracy=0.9704583333333333, eval_accuracy=0.9645833333333333
split=0.1, train_len=6000, eval_len=54000, epoch=0, train_accuracy=0.8976666666666666, eval_accuracy=0.9348148148148148
split=0.1, train_len=6000, eval_len=54000, epoch=1, train_accuracy=0.959, eval_accuracy=0.9420740740740741
split=0.2, train_len=12000, eval_len=48000, epoch=0, train_accuracy=0.9154166666666667, eval_accuracy=0.9436458333333333
split=0.2, train_len=12000, eval_len=48000, epoch=1, train_accuracy=0.9633333333333334, eval_accuracy=0.9506041666666667
split=0.5, train_len=30000, eval_len=30000, epoch=0, train_accuracy=0.9361, eval_accuracy=0.9564333333333334
split=0.5, train_len=30000, eval_len=30000, epoch=1, train_accuracy=0.9699666666666666, eval_accuracy=0.9596666666666667
split=0.8, train_len=48000, eval_len=12000, epoch=0, train_accuracy=0.9429791666666667, eval_accuracy=0.9616666666666667
split=0.8, train_len=48000, eval_len=12000, epoch=1, train_accuracy=0.97025, eval_accuracy=0.9660833333333333
split=0.9, train_len=54000, eval_len=6000, epoch=0, train_accuracy=0.9450925925925926, eval_accuracy=0.9691666666666666
split=0.9, train_len=54000, eval_len=6000, epoch=1, train_accuracy=0.9711666666666666, eval_accuracy=0.9721666666666666
split=0.1, train_len=6000, eval_len=54000, epoch=0, train_accuracy=0.896, eval_accuracy=0.9348518518518518
split=0.1, train_len=6000, eval_len=54000, epoch=1, train_accuracy=0.9588333333333333, eval_accuracy=0.9424814814814815
split=0.2, train_len=12000, eval_len=48000, epoch=0, train_accuracy=0.916, eval_accuracy=0.9434583333333333
split=0.2, train_len=12000, eval_len=48000, epoch=1, train_accuracy=0.9629166666666666, eval_accuracy=0.949875
split=0.5, train_len=30000, eval_len=30000, epoch=0, train_accuracy=0.9355, eval_accuracy=0.9559
split=0.5, train_len=30000, eval_len=30000, epoch=1, train_accuracy=0.9696333333333333, eval_accuracy=0.9598666666666666
split=0.8, train_len=48000, eval_len=12000, epoch=0, train_accuracy=0.9434375, eval_accuracy=0.9635833333333333
split=0.8, train_len=48000, eval_len=12000, epoch=1, train_accuracy=0.9707708333333334, eval_accuracy=0.9640833333333333
split=0.9, train_len=54000, eval_len=6000, epoch=0, train_accuracy=0.9453703703703704, eval_accuracy=0.9685
split=0.9, train_len=54000, eval_len=6000, epoch=1, train_accuracy=0.9712037037037037, eval_accuracy=0.9715
