split=0.1, train_len=6000, eval_len=54000, epoch=0, train_accuracy=0.9081666666666667, eval_accuracy=0.9397777777777778
split=0.1, train_len=6000, eval_len=54000, epoch=1, train_accuracy=0.9873333333333333, eval_accuracy=0.9471851851851851
split=0.2, train_len=12000, eval_len=48000, epoch=0, train_accuracy=0.9288333333333333, eval_accuracy=0.9533958333333333
split=0.2, train_len=12000, eval_len=48000, epoch=1, train_accuracy=0.9899166666666667, eval_accuracy=0.9581458333333334
split=0.5, train_len=30000, eval_len=30000, epoch=0, train_accuracy=0.9483333333333334, eval_accuracy=0.9664
split=0.5, train_len=30000, eval_len=30000, epoch=1, train_accuracy=0.9931333333333333, eval_accuracy=0.9690666666666666
split=0.8, train_len=48000, eval_len=12000, epoch=0, train_accuracy=0.9543958333333333, eval_accuracy=0.9718333333333333
split=0.8, train_len=48000, eval_len=12000, epoch=1, train_accuracy=0.9934791666666667, eval_accuracy=0.9726666666666667
split=0.9, train_len=54000, eval_len=6000, epoch=0, train_accuracy=0.9573703703703703, eval_accuracy=0.979
split=0.9, train_len=54000, eval_len=6000, epoch=1, train_accuracy=0.9937037037037038, eval_accuracy=0.9798333333333333
split=0.1, train_len=6000, eval_len=54000, epoch=0, train_accuracy=0.895, eval_accuracy=0.9396296296296296
split=0.1, train_len=6000, eval_len=54000, epoch=1, train_accuracy=0.9871666666666666, eval_accuracy=0.946925925925926
split=0.2, train_len=12000, eval_len=48000, epoch=0, train_accuracy=0.9305, eval_accuracy=0.9526041666666667
split=0.2, train_len=12000, eval_len=48000, epoch=1, train_accuracy=0.9878333333333333, eval_accuracy=0.9582083333333333
split=0.5, train_len=30000, eval_len=30000, epoch=0, train_accuracy=0.9476333333333333, eval_accuracy=0.9664666666666667
split=0.5, train_len=30000, eval_len=30000, epoch=1, train_accuracy=0.993, eval_accuracy=0.9687
split=0.8, train_len=48000, eval_len=12000, epoch=0, train_accuracy=0.9555416666666666, eval_accuracy=0.9723333333333334
split=0.8, train_len=48000, eval_len=12000, epoch=1, train_accuracy=0.9932291666666667, eval_accuracy=0.9743333333333334
split=0.9, train_len=54000, eval_len=6000, epoch=0, train_accuracy=0.9573518518518519, eval_accuracy=0.9783333333333334
split=0.9, train_len=54000, eval_len=6000, epoch=1, train_accuracy=0.9932407407407408, eval_accuracy=0.98
split=0.1, train_len=6000, eval_len=54000, epoch=0, train_accuracy=0.9015, eval_accuracy=0.9400740740740741
split=0.1, train_len=6000, eval_len=54000, epoch=1, train_accuracy=0.9865, eval_accuracy=0.9472592592592592
split=0.2, train_len=12000, eval_len=48000, epoch=0, train_accuracy=0.92725, eval_accuracy=0.953
split=0.2, train_len=12000, eval_len=48000, epoch=1, train_accuracy=0.9894166666666667, eval_accuracy=0.9581458333333334
split=0.5, train_len=30000, eval_len=30000, epoch=0, train_accuracy=0.9479333333333333, eval_accuracy=0.9657
split=0.5, train_len=30000, eval_len=30000, epoch=1, train_accuracy=0.9928, eval_accuracy=0.9686
split=0.8, train_len=48000, eval_len=12000, epoch=0, train_accuracy=0.9549375, eval_accuracy=0.972
split=0.8, train_len=48000, eval_len=12000, epoch=1, train_accuracy=0.9929791666666666, eval_accuracy=0.9734166666666667
split=0.9, train_len=54000, eval_len=6000, epoch=0, train_accuracy=0.9556296296296296, eval_accuracy=0.9778333333333333
split=0.9, train_len=54000, eval_len=6000, epoch=1, train_accuracy=0.9932777777777778, eval_accuracy=0.9793333333333333
