split=0.1, train_len=6000, eval_len=54000, epoch=0, train_accuracy=0.9006666666666666, eval_accuracy=0.9393148148148148
split=0.1, train_len=6000, eval_len=54000, epoch=1, train_accuracy=0.9653333333333334, eval_accuracy=0.9476481481481481
split=0.2, train_len=12000, eval_len=48000, epoch=0, train_accuracy=0.924, eval_accuracy=0.9499375
split=0.2, train_len=12000, eval_len=48000, epoch=1, train_accuracy=0.9695, eval_accuracy=0.9569791666666667
split=0.5, train_len=30000, eval_len=30000, epoch=0, train_accuracy=0.9445, eval_accuracy=0.9622333333333334
split=0.5, train_len=30000, eval_len=30000, epoch=1, train_accuracy=0.9751666666666666, eval_accuracy=0.9645
split=0.8, train_len=48000, eval_len=12000, epoch=0, train_accuracy=0.9495625, eval_accuracy=0.96775
split=0.8, train_len=48000, eval_len=12000, epoch=1, train_accuracy=0.97625, eval_accuracy=0.9706666666666667
split=0.9, train_len=54000, eval_len=6000, epoch=0, train_accuracy=0.9518518518518518, eval_accuracy=0.9741666666666666
split=0.9, train_len=54000, eval_len=6000, epoch=1, train_accuracy=0.9752222222222222, eval_accuracy=0.974
split=0.1, train_len=6000, eval_len=54000, epoch=0, train_accuracy=0.9021666666666667, eval_accuracy=0.9401851851851852
split=0.1, train_len=6000, eval_len=54000, epoch=1, train_accuracy=0.9656666666666667, eval_accuracy=0.9483888888888888
split=0.2, train_len=12000, eval_len=48000, epoch=0, train_accuracy=0.923, eval_accuracy=0.9503333333333334
split=0.2, train_len=12000, eval_len=48000, epoch=1, train_accuracy=0.9695, eval_accuracy=0.9563541666666666
split=0.5, train_len=30000, eval_len=30000, epoch=0, train_accuracy=0.9429, eval_accuracy=0.9615666666666667
split=0.5, train_len=30000, eval_len=30000, epoch=1, train_accuracy=0.9752333333333333, eval_accuracy=0.9649
split=0.8, train_len=48000, eval_len=12000, epoch=0, train_accuracy=0.9504166666666667, eval_accuracy=0.9670833333333333
split=0.8, train_len=48000, eval_len=12000, epoch=1, train_accuracy=0.9757083333333333, eval_accuracy=0.9706666666666667
split=0.9, train_len=54000, eval_len=6000, epoch=0, train_accuracy=0.9502592592592592, eval_accuracy=0.974
split=0.9, train_len=54000, eval_len=6000, epoch=1, train_accuracy=0.9759814814814814, eval_accuracy=0.9751666666666666
split=0.1, train_len=6000, eval_len=54000, epoch=0, train_accuracy=0.9006666666666666, eval_accuracy=0.9394074074074074
split=0.1, train_len=6000, eval_len=54000, epoch=1, train_accuracy=0.9641666666666666, eval_accuracy=0.9483518518518519
split=0.2, train_len=12000, eval_len=48000, epoch=0, train_accuracy=0.9248333333333333, eval_accuracy=0.9507916666666667
split=0.2, train_len=12000, eval_len=48000, epoch=1, train_accuracy=0.9700833333333333, eval_accuracy=0.9576666666666667
split=0.5, train_len=30000, eval_len=30000, epoch=0, train_accuracy=0.9427333333333333, eval_accuracy=0.9616333333333333
split=0.5, train_len=30000, eval_len=30000, epoch=1, train_accuracy=0.9747, eval_accuracy=0.9646666666666667
split=0.8, train_len=48000, eval_len=12000, epoch=0, train_accuracy=0.9492291666666667, eval_accuracy=0.9681666666666666
split=0.8, train_len=48000, eval_len=12000, epoch=1, train_accuracy=0.9752708333333333, eval_accuracy=0.9709166666666667
split=0.9, train_len=54000, eval_len=6000, epoch=0, train_accuracy=0.9517777777777777, eval_accuracy=0.9731666666666666
split=0.9, train_len=54000, eval_len=6000, epoch=1, train_accuracy=0.975574074074074, eval_accuracy=0.9758333333333333
