split=0.1, train_len=6000, eval_len=54000, epoch=0, train_accuracy=0.9115, eval_accuracy=0.9476481481481481
split=0.1, train_len=6000, eval_len=54000, epoch=1, train_accuracy=0.9935, eval_accuracy=0.9538518518518518
split=0.2, train_len=12000, eval_len=48000, epoch=0, train_accuracy=0.9296666666666666, eval_accuracy=0.9598958333333333
split=0.2, train_len=12000, eval_len=48000, epoch=1, train_accuracy=0.9954166666666666, eval_accuracy=0.9645833333333333
split=0.5, train_len=30000, eval_len=30000, epoch=0, train_accuracy=0.9539, eval_accuracy=0.9731666666666666
split=0.5, train_len=30000, eval_len=30000, epoch=1, train_accuracy=0.997, eval_accuracy=0.9745666666666667
split=0.8, train_len=48000, eval_len=12000, epoch=0, train_accuracy=0.9607708333333334, eval_accuracy=0.97825
split=0.8, train_len=48000, eval_len=12000, epoch=1, train_accuracy=0.9970416666666667, eval_accuracy=0.9785
split=0.9, train_len=54000, eval_len=6000, epoch=0, train_accuracy=0.9620925925925926, eval_accuracy=0.9828333333333333
split=0.9, train_len=54000, eval_len=6000, epoch=1, train_accuracy=0.9970555555555556, eval_accuracy=0.9851666666666666
split=0.1, train_len=6000, eval_len=54000, epoch=0, train_accuracy=0.8993333333333333, eval_accuracy=0.9467037037037037
split=0.1, train_len=6000, eval_len=54000, epoch=1, train_accuracy=0.993, eval_accuracy=0.9536296296296296
split=0.2, train_len=12000, eval_len=48000, epoch=0, train_accuracy=0.9318333333333333, eval_accuracy=0.9600416666666667
split=0.2, train_len=12000, eval_len=48000, epoch=1, train_accuracy=0.9953333333333333, eval_accuracy=0.9645
split=0.5, train_len=30000, eval_len=30000, epoch=0, train_accuracy=0.9531666666666667, eval_accuracy=0.9733333333333334
split=0.5, train_len=30000, eval_len=30000, epoch=1, train_accuracy=0.9969666666666667, eval_accuracy=0.9744
split=0.8, train_len=48000, eval_len=12000, epoch=0, train_accuracy=0.9615833333333333, eval_accuracy=0.9784166666666667
split=0.8, train_len=48000, eval_len=12000, epoch=1, train_accuracy=0.9972291666666667, eval_accuracy=0.9786666666666667
split=0.9, train_len=54000, eval_len=6000, epoch=0, train_accuracy=0.9626296296296296, eval_accuracy=0.9841666666666666
split=0.9, train_len=54000, eval_len=6000, epoch=1, train_accuracy=0.9971851851851852, eval_accuracy=0.9848333333333333
split=0.1, train_len=6000, eval_len=54000, epoch=0, train_accuracy=0.9026666666666666, eval_accuracy=0.9477407407407408
split=0.1, train_len=6000, eval_len=54000, epoch=1, train_accuracy=0.9931666666666666, eval_accuracy=0.9538518518518518
split=0.2, train_len=12000, eval_len=48000, epoch=0, train_accuracy=0.931, eval_accuracy=0.9600833333333333
split=0.2, train_len=12000, eval_len=48000, epoch=1, train_accuracy=0.9954166666666666, eval_accuracy=0.9645833333333333
split=0.5, train_len=30000, eval_len=30000, epoch=0, train_accuracy=0.9528333333333333, eval_accuracy=0.9737333333333333
split=0.5, train_len=30000, eval_len=30000, epoch=1, train_accuracy=0.9966333333333334, eval_accuracy=0.9749333333333333
split=0.8, train_len=48000, eval_len=12000, epoch=0, train_accuracy=0.9603125, eval_accuracy=0.9770833333333333
split=0.8, train_len=48000, eval_len=12000, epoch=1, train_accuracy=0.9969791666666666, eval_accuracy=0.97875
split=0.9, train_len=54000, eval_len=6000, epoch=0, train_accuracy=0.9631481481481482, eval_accuracy=0.9833333333333333
split=0.9, train_len=54000, eval_len=6000, epoch=1, train_accuracy=0.9968888888888889, eval_accuracy=0.9853333333333333
