split=0.1, train_len=6000, eval_len=54000, epoch=0, train_accuracy=0.8745, eval_accuracy=0.9123703703703704
split=0.1, train_len=6000, eval_len=54000, epoch=1, train_accuracy=0.9631666666666666, eval_accuracy=0.9227962962962963
split=0.2, train_len=12000, eval_len=48000, epoch=0, train_accuracy=0.8991666666666667, eval_accuracy=0.9251875
split=0.2, train_len=12000, eval_len=48000, epoch=1, train_accuracy=0.96925, eval_accuracy=0.9343958333333333
split=0.5, train_len=30000, eval_len=30000, epoch=0, train_accuracy=0.9196333333333333, eval_accuracy=0.9449
split=0.5, train_len=30000, eval_len=30000, epoch=1, train_accuracy=0.9744, eval_accuracy=0.9507
split=0.8, train_len=48000, eval_len=12000, epoch=0, train_accuracy=0.9317083333333334, eval_accuracy=0.9536666666666667
split=0.8, train_len=48000, eval_len=12000, epoch=1, train_accuracy=0.9757708333333334, eval_accuracy=0.95925
split=0.9, train_len=54000, eval_len=6000, epoch=0, train_accuracy=0.9332777777777778, eval_accuracy=0.9605
split=0.9, train_len=54000, eval_len=6000, epoch=1, train_accuracy=0.9762592592592593, eval_accuracy=0.9625
split=0.1, train_len=6000, eval_len=54000, epoch=0, train_accuracy=0.8733333333333333, eval_accuracy=0.9112222222222223
split=0.1, train_len=6000, eval_len=54000, epoch=1, train_accuracy=0.9626666666666667, eval_accuracy=0.9228518518518518
split=0.2, train_len=12000, eval_len=48000, epoch=0, train_accuracy=0.90125, eval_accuracy=0.9258125
split=0.2, train_len=12000, eval_len=48000, epoch=1, train_accuracy=0.9681666666666666, eval_accuracy=0.93525
split=0.5, train_len=30000, eval_len=30000, epoch=0, train_accuracy=0.9243333333333333, eval_accuracy=0.9451333333333334
split=0.5, train_len=30000, eval_len=30000, epoch=1, train_accuracy=0.9736333333333334, eval_accuracy=0.9511666666666667
split=0.8, train_len=48000, eval_len=12000, epoch=0, train_accuracy=0.9315, eval_accuracy=0.9534166666666667
split=0.8, train_len=48000, eval_len=12000, epoch=1, train_accuracy=0.975625, eval_accuracy=0.95825
split=0.9, train_len=54000, eval_len=6000, epoch=0, train_accuracy=0.9334814814814815, eval_accuracy=0.9606666666666667
split=0.9, train_len=54000, eval_len=6000, epoch=1, train_accuracy=0.9757407407407407, eval_accuracy=0.9643333333333334
split=0.1, train_len=6000, eval_len=54000, epoch=0, train_accuracy=0.8798333333333334, eval_accuracy=0.911537037037037
split=0.1, train_len=6000, eval_len=54000, epoch=1, train_accuracy=0.9638333333333333, eval_accuracy=0.9225555555555556
split=0.1, train_len=6000, eval_len=54000, epoch=2, train_accuracy=0.9855, eval_accuracy=0.9263518518518519
split=0.1, train_len=6000, eval_len=54000, epoch=3, train_accuracy=0.994, eval_accuracy=0.928537037037037
split=0.8, train_len=48000, eval_len=12000, epoch=0, train_accuracy=0.9318541666666667, eval_accuracy=0.9525
split=0.8, train_len=48000, eval_len=12000, epoch=1, train_accuracy=0.9750416666666667, eval_accuracy=0.9569166666666666
split=0.8, train_len=48000, eval_len=12000, epoch=2, train_accuracy=0.989375, eval_accuracy=0.9585833333333333
split=0.8, train_len=48000, eval_len=12000, epoch=3, train_accuracy=0.9957083333333333, eval_accuracy=0.9581666666666667
