split=0.1, train_len=6000, eval_len=54000, epoch=0, train_accuracy=0.56, eval_accuracy=0.653962962962963
split=0.1, train_len=6000, eval_len=54000, epoch=1, train_accuracy=0.707, eval_accuracy=0.6642777777777777
split=0.2, train_len=12000, eval_len=48000, epoch=0, train_accuracy=0.6146666666666667, eval_accuracy=0.6703333333333333
split=0.2, train_len=12000, eval_len=48000, epoch=1, train_accuracy=0.69975, eval_accuracy=0.6758125
split=0.5, train_len=30000, eval_len=30000, epoch=0, train_accuracy=0.6517333333333334, eval_accuracy=0.6818666666666666
split=0.5, train_len=30000, eval_len=30000, epoch=1, train_accuracy=0.7005333333333333, eval_accuracy=0.6939
split=0.8, train_len=48000, eval_len=12000, epoch=0, train_accuracy=0.6644375, eval_accuracy=0.7001666666666667
split=0.8, train_len=48000, eval_len=12000, epoch=1, train_accuracy=0.7067083333333334, eval_accuracy=0.7159166666666666
split=0.9, train_len=54000, eval_len=6000, epoch=0, train_accuracy=0.6652592592592592, eval_accuracy=0.7138333333333333
split=0.9, train_len=54000, eval_len=6000, epoch=1, train_accuracy=0.7084259259259259, eval_accuracy=0.7326666666666667
split=0.1, train_len=6000, eval_len=54000, epoch=0, train_accuracy=0.5536666666666666, eval_accuracy=0.6541481481481481
split=0.1, train_len=6000, eval_len=54000, epoch=1, train_accuracy=0.7061666666666667, eval_accuracy=0.6649814814814815
split=0.1, train_len=6000, eval_len=54000, epoch=2, train_accuracy=0.7195, eval_accuracy=0.669
split=0.1, train_len=6000, eval_len=54000, epoch=3, train_accuracy=0.7298333333333333, eval_accuracy=0.6720555555555555
split=0.8, train_len=48000, eval_len=12000, epoch=0, train_accuracy=0.6621458333333333, eval_accuracy=0.6994166666666667
split=0.8, train_len=48000, eval_len=12000, epoch=1, train_accuracy=0.7077916666666667, eval_accuracy=0.7156666666666667
split=0.8, train_len=48000, eval_len=12000, epoch=2, train_accuracy=0.7239166666666667, eval_accuracy=0.7234166666666667
split=0.8, train_len=48000, eval_len=12000, epoch=3, train_accuracy=0.7353333333333333, eval_accuracy=0.7296666666666667
