split=0.1, train_len=6000, eval_len=54000, epoch=0, train_accuracy=0.8978333333333334, eval_accuracy=0.9315
split=0.1, train_len=6000, eval_len=54000, epoch=1, train_accuracy=0.9795, eval_accuracy=0.9401851851851852
split=0.2, train_len=12000, eval_len=48000, epoch=0, train_accuracy=0.9190833333333334, eval_accuracy=0.9458125
split=0.2, train_len=12000, eval_len=48000, epoch=1, train_accuracy=0.9819166666666667, eval_accuracy=0.9522708333333333
split=0.5, train_len=30000, eval_len=30000, epoch=0, train_accuracy=0.9399666666666666, eval_accuracy=0.9611333333333333
split=0.5, train_len=30000, eval_len=30000, epoch=1, train_accuracy=0.9857, eval_accuracy=0.9642
split=0.8, train_len=48000, eval_len=12000, epoch=0, train_accuracy=0.94875, eval_accuracy=0.96675
split=0.8, train_len=48000, eval_len=12000, epoch=1, train_accuracy=0.9868125, eval_accuracy=0.9686666666666667
split=0.9, train_len=54000, eval_len=6000, epoch=0, train_accuracy=0.9499814814814814, eval_accuracy=0.9733333333333334
split=0.9, train_len=54000, eval_len=6000, epoch=1, train_accuracy=0.9869074074074075, eval_accuracy=0.9741666666666666
split=0.1, train_len=6000, eval_len=54000, epoch=0, train_accuracy=0.8955, eval_accuracy=0.9314259259259259
split=0.1, train_len=6000, eval_len=54000, epoch=1, train_accuracy=0.98, eval_accuracy=0.9407962962962962
split=0.1, train_len=6000, eval_len=54000, epoch=2, train_accuracy=0.9938333333333333, eval_accuracy=0.9439444444444445
split=0.1, train_len=6000, eval_len=54000, epoch=3, train_accuracy=0.9981666666666666, eval_accuracy=0.9453333333333334
split=0.8, train_len=48000, eval_len=12000, epoch=0, train_accuracy=0.9476666666666667, eval_accuracy=0.967
split=0.8, train_len=48000, eval_len=12000, epoch=1, train_accuracy=0.9873958333333334, eval_accuracy=0.969
split=0.8, train_len=48000, eval_len=12000, epoch=2, train_accuracy=0.9964583333333333, eval_accuracy=0.97025
split=0.8, train_len=48000, eval_len=12000, epoch=3, train_accuracy=0.99925, eval_accuracy=0.9701666666666666
