split=0.1, train_len=6000, eval_len=54000, epoch=0, train_accuracy=0.866, eval_accuracy=0.9171111111111111
split=0.1, train_len=6000, eval_len=54000, epoch=1, train_accuracy=0.9473333333333334, eval_accuracy=0.9263333333333333
split=0.2, train_len=12000, eval_len=48000, epoch=0, train_accuracy=0.89725, eval_accuracy=0.9283125
split=0.2, train_len=12000, eval_len=48000, epoch=1, train_accuracy=0.95025, eval_accuracy=0.937125
split=0.5, train_len=30000, eval_len=30000, epoch=0, train_accuracy=0.9211666666666667, eval_accuracy=0.9454333333333333
split=0.5, train_len=30000, eval_len=30000, epoch=1, train_accuracy=0.9563, eval_accuracy=0.9510666666666666
split=0.8, train_len=48000, eval_len=12000, epoch=0, train_accuracy=0.9312291666666667, eval_accuracy=0.9508333333333333
split=0.8, train_len=48000, eval_len=12000, epoch=1, train_accuracy=0.9583541666666666, eval_accuracy=0.9554166666666667
split=0.9, train_len=54000, eval_len=6000, epoch=0, train_accuracy=0.9322777777777778, eval_accuracy=0.9573333333333334
split=0.9, train_len=54000, eval_len=6000, epoch=1, train_accuracy=0.958574074074074, eval_accuracy=0.9616666666666667
split=0.1, train_len=6000, eval_len=54000, epoch=0, train_accuracy=0.8743333333333333, eval_accuracy=0.9163703703703704
split=0.1, train_len=6000, eval_len=54000, epoch=1, train_accuracy=0.9483333333333334, eval_accuracy=0.9262222222222222
split=0.1, train_len=6000, eval_len=54000, epoch=2, train_accuracy=0.9613333333333334, eval_accuracy=0.9307037037037037
split=0.1, train_len=6000, eval_len=54000, epoch=3, train_accuracy=0.971, eval_accuracy=0.9337777777777778
split=0.8, train_len=48000, eval_len=12000, epoch=0, train_accuracy=0.9306666666666666, eval_accuracy=0.9524166666666667
split=0.8, train_len=48000, eval_len=12000, epoch=1, train_accuracy=0.9586875, eval_accuracy=0.9549166666666666
split=0.8, train_len=48000, eval_len=12000, epoch=2, train_accuracy=0.9666875, eval_accuracy=0.95675
split=0.8, train_len=48000, eval_len=12000, epoch=3, train_accuracy=0.9732291666666667, eval_accuracy=0.95775
