split=0.9, train_len=54000, eval_len=6000, epoch=3, train_accuracy=0.9964814814814815, eval_accuracy=0.971
split=0.1, train_len=6000, eval_len=54000, epoch=0, train_accuracy=0.8521666666666666, eval_accuracy=0.9042407407407408
split=0.1, train_len=6000, eval_len=54000, epoch=1, train_accuracy=0.9671666666666666, eval_accuracy=0.9181666666666667
split=0.1, train_len=6000, eval_len=54000, epoch=2, train_accuracy=0.9895, eval_accuracy=0.9224444444444444
split=0.1, train_len=6000, eval_len=54000, epoch=3, train_accuracy=0.9956666666666667, eval_accuracy=0.9232407407407407
split=0.2, train_len=12000, eval_len=48000, epoch=0, train_accuracy=0.8851666666666667, eval_accuracy=0.9264583333333334
split=0.2, train_len=12000, eval_len=48000, epoch=1, train_accuracy=0.9705, eval_accuracy=0.9353958333333333
split=0.2, train_len=12000, eval_len=48000, epoch=2, train_accuracy=0.9885833333333334, eval_accuracy=0.93875
split=0.2, train_len=12000, eval_len=48000, epoch=3, train_accuracy=0.9964166666666666, eval_accuracy=0.9400416666666667
split=0.5, train_len=30000, eval_len=30000, epoch=0, train_accuracy=0.9170666666666667, eval_accuracy=0.9477
split=0.5, train_len=30000, eval_len=30000, epoch=1, train_accuracy=0.9761, eval_accuracy=0.953
split=0.5, train_len=30000, eval_len=30000, epoch=2, train_accuracy=0.9914333333333334, eval_accuracy=0.9547333333333333
split=0.5, train_len=30000, eval_len=30000, epoch=3, train_accuracy=0.9973, eval_accuracy=0.9549333333333333
split=0.8, train_len=48000, eval_len=12000, epoch=0, train_accuracy=0.9272291666666667, eval_accuracy=0.958
split=0.8, train_len=48000, eval_len=12000, epoch=1, train_accuracy=0.9770416666666667, eval_accuracy=0.964
split=0.8, train_len=48000, eval_len=12000, epoch=2, train_accuracy=0.9908333333333333, eval_accuracy=0.9633333333333334
split=0.8, train_len=48000, eval_len=12000, epoch=3, train_accuracy=0.9968541666666667, eval_accuracy=0.96475
split=0.9, train_len=54000, eval_len=6000, epoch=0, train_accuracy=0.9309814814814815, eval_accuracy=0.9675
split=0.9, train_len=54000, eval_len=6000, epoch=1, train_accuracy=0.9774814814814815, eval_accuracy=0.971
split=0.9, train_len=54000, eval_len=6000, epoch=2, train_accuracy=0.9908703703703704, eval_accuracy=0.9713333333333334
split=0.9, train_len=54000, eval_len=6000, epoch=3, train_accuracy=0.9963333333333333, eval_accuracy=0.9715
split=20, train_len=20, eval_len=59980, epoch=0, train_accuracy=0.15, eval_accuracy=0.23011003667889296
split=20, train_len=20, eval_len=59980, epoch=1, train_accuracy=1.0, eval_accuracy=0.31998999666555517
split=20, train_len=20, eval_len=59980, epoch=2, train_accuracy=1.0, eval_accuracy=0.36410470156718905
split=20, train_len=20, eval_len=59980, epoch=3, train_accuracy=1.0, eval_accuracy=0.3880293431143715
split=100, train_len=100, eval_len=59900, epoch=0, train_accuracy=0.22, eval_accuracy=0.5130217028380635
split=100, train_len=100, eval_len=59900, epoch=1, train_accuracy=0.99, eval_accuracy=0.5714691151919866
split=100, train_len=100, eval_len=59900, epoch=2, train_accuracy=1.0, eval_accuracy=0.5863105175292154
split=100, train_len=100, eval_len=59900, epoch=3, train_accuracy=1.0, eval_accuracy=0.5920033388981636
split=1000, train_len=1000, eval_len=59000, epoch=0, train_accuracy=0.67, eval_accuracy=0.7848305084745762
split=1000, train_len=1000, eval_len=59000, epoch=1, train_accuracy=0.965, eval_accuracy=0.8146610169491525
split=1000, train_len=1000, eval_len=59000, epoch=2, train_accuracy=0.989, eval_accuracy=0.8263898305084746
split=1000, train_len=1000, eval_len=59000, epoch=3, train_accuracy=0.994, eval_accuracy=0.8333559322033899
