split=0.9, train_len=54000, eval_len=6000, epoch=3, train_accuracy=0.6693518518518519, eval_accuracy=0.6775
split=0.1, train_len=6000, eval_len=54000, epoch=0, train_accuracy=0.4796666666666667, eval_accuracy=0.5854259259259259
split=0.1, train_len=6000, eval_len=54000, epoch=1, train_accuracy=0.6526666666666666, eval_accuracy=0.5957592592592592
split=0.1, train_len=6000, eval_len=54000, epoch=2, train_accuracy=0.6643333333333333, eval_accuracy=0.5982592592592593
split=0.1, train_len=6000, eval_len=54000, epoch=3, train_accuracy=0.6701666666666667, eval_accuracy=0.6012037037037037
split=0.2, train_len=12000, eval_len=48000, epoch=0, train_accuracy=0.5493333333333333, eval_accuracy=0.6037708333333334
split=0.2, train_len=12000, eval_len=48000, epoch=1, train_accuracy=0.6443333333333333, eval_accuracy=0.6107916666666666
split=0.2, train_len=12000, eval_len=48000, epoch=2, train_accuracy=0.6563333333333333, eval_accuracy=0.6148541666666667
split=0.2, train_len=12000, eval_len=48000, epoch=3, train_accuracy=0.6619166666666667, eval_accuracy=0.6205208333333333
split=0.5, train_len=30000, eval_len=30000, epoch=0, train_accuracy=0.5860333333333333, eval_accuracy=0.6214
split=0.5, train_len=30000, eval_len=30000, epoch=1, train_accuracy=0.6402333333333333, eval_accuracy=0.6324333333333333
split=0.5, train_len=30000, eval_len=30000, epoch=2, train_accuracy=0.6551, eval_accuracy=0.6401333333333333
split=0.5, train_len=30000, eval_len=30000, epoch=3, train_accuracy=0.6644333333333333, eval_accuracy=0.6448333333333334
split=0.8, train_len=48000, eval_len=12000, epoch=0, train_accuracy=0.5972291666666667, eval_accuracy=0.6386666666666667
split=0.8, train_len=48000, eval_len=12000, epoch=1, train_accuracy=0.6428333333333334, eval_accuracy=0.65325
split=0.8, train_len=48000, eval_len=12000, epoch=2, train_accuracy=0.6578333333333334, eval_accuracy=0.6626666666666666
split=0.8, train_len=48000, eval_len=12000, epoch=3, train_accuracy=0.6673333333333333, eval_accuracy=0.6680833333333334
split=0.9, train_len=54000, eval_len=6000, epoch=0, train_accuracy=0.6039629629629629, eval_accuracy=0.6453333333333333
split=0.9, train_len=54000, eval_len=6000, epoch=1, train_accuracy=0.6455185185185185, eval_accuracy=0.6601666666666667
split=0.9, train_len=54000, eval_len=6000, epoch=2, train_accuracy=0.6599259259259259, eval_accuracy=0.6773333333333333
split=0.9, train_len=54000, eval_len=6000, epoch=3, train_accuracy=0.669074074074074, eval_accuracy=0.6803333333333333
split=20, train_len=20, eval_len=59980, epoch=0, train_accuracy=0.15, eval_accuracy=0.10716905635211738
split=20, train_len=20, eval_len=59980, epoch=1, train_accuracy=0.3, eval_accuracy=0.10980326775591864
split=20, train_len=20, eval_len=59980, epoch=2, train_accuracy=0.4, eval_accuracy=0.11795598532844281
split=20, train_len=20, eval_len=59980, epoch=3, train_accuracy=0.7, eval_accuracy=0.12280760253417806
split=100, train_len=100, eval_len=59900, epoch=0, train_accuracy=0.07, eval_accuracy=0.10906510851419032
split=100, train_len=100, eval_len=59900, epoch=1, train_accuracy=0.24, eval_accuracy=0.13507512520868115
split=100, train_len=100, eval_len=59900, epoch=2, train_accuracy=0.45, eval_accuracy=0.16592654424040068
split=100, train_len=100, eval_len=59900, epoch=3, train_accuracy=0.71, eval_accuracy=0.1962270450751252
split=1000, train_len=1000, eval_len=59000, epoch=0, train_accuracy=0.239, eval_accuracy=0.3644067796610169
split=1000, train_len=1000, eval_len=59000, epoch=1, train_accuracy=0.656, eval_accuracy=0.479135593220339
split=1000, train_len=1000, eval_len=59000, epoch=2, train_accuracy=0.771, eval_accuracy=0.5043220338983051
split=1000, train_len=1000, eval_len=59000, epoch=3, train_accuracy=0.809, eval_accuracy=0.515864406779661
