split=0.9, train_len=54000, eval_len=6000, epoch=3, train_accuracy=0.9997592592592592, eval_accuracy=0.984
split=0.1, train_len=6000, eval_len=54000, epoch=0, train_accuracy=0.8951666666666667, eval_accuracy=0.9387222222222222
split=0.1, train_len=6000, eval_len=54000, epoch=1, train_accuracy=0.988, eval_accuracy=0.9458703703703704
split=0.1, train_len=6000, eval_len=54000, epoch=2, train_accuracy=0.9978333333333333, eval_accuracy=0.9476296296296296
split=0.1, train_len=6000, eval_len=54000, epoch=3, train_accuracy=0.9996666666666667, eval_accuracy=0.9488148148148148
split=0.2, train_len=12000, eval_len=48000, epoch=0, train_accuracy=0.9214166666666667, eval_accuracy=0.953375
split=0.2, train_len=12000, eval_len=48000, epoch=1, train_accuracy=0.99025, eval_accuracy=0.9593125
split=0.2, train_len=12000, eval_len=48000, epoch=2, train_accuracy=0.99875, eval_accuracy=0.9600208333333333
split=0.2, train_len=12000, eval_len=48000, epoch=3, train_accuracy=0.9999166666666667, eval_accuracy=0.9605833333333333
split=0.5, train_len=30000, eval_len=30000, epoch=0, train_accuracy=0.9469666666666666, eval_accuracy=0.9675666666666667
split=0.5, train_len=30000, eval_len=30000, epoch=1, train_accuracy=0.9920666666666667, eval_accuracy=0.9701
split=0.5, train_len=30000, eval_len=30000, epoch=2, train_accuracy=0.9990666666666667, eval_accuracy=0.972
split=0.5, train_len=30000, eval_len=30000, epoch=3, train_accuracy=0.9999, eval_accuracy=0.9720666666666666
split=0.8, train_len=48000, eval_len=12000, epoch=0, train_accuracy=0.9553541666666666, eval_accuracy=0.9738333333333333
split=0.8, train_len=48000, eval_len=12000, epoch=1, train_accuracy=0.9927916666666666, eval_accuracy=0.9761666666666666
split=0.8, train_len=48000, eval_len=12000, epoch=2, train_accuracy=0.998875, eval_accuracy=0.9771666666666666
split=0.8, train_len=48000, eval_len=12000, epoch=3, train_accuracy=0.9998958333333333, eval_accuracy=0.9775
split=0.9, train_len=54000, eval_len=6000, epoch=0, train_accuracy=0.9558148148148148, eval_accuracy=0.9821666666666666
split=0.9, train_len=54000, eval_len=6000, epoch=1, train_accuracy=0.9925555555555555, eval_accuracy=0.982
split=0.9, train_len=54000, eval_len=6000, epoch=2, train_accuracy=0.9985925925925926, eval_accuracy=0.9843333333333333
split=0.9, train_len=54000, eval_len=6000, epoch=3, train_accuracy=0.9997407407407407, eval_accuracy=0.9836666666666667
split=20, train_len=20, eval_len=59980, epoch=0, train_accuracy=0.1, eval_accuracy=0.31927309103034346
split=20, train_len=20, eval_len=59980, epoch=1, train_accuracy=1.0, eval_accuracy=0.40678559519839946
split=20, train_len=20, eval_len=59980, epoch=2, train_accuracy=1.0, eval_accuracy=0.434161387129043
split=20, train_len=20, eval_len=59980, epoch=3, train_accuracy=1.0, eval_accuracy=0.44304768256085364
split=1000, train_len=1000, eval_len=59000, epoch=0, train_accuracy=0.742, eval_accuracy=0.8577457627118644
split=1000, train_len=1000, eval_len=59000, epoch=1, train_accuracy=0.98, eval_accuracy=0.877406779661017
split=1000, train_len=1000, eval_len=59000, epoch=2, train_accuracy=0.996, eval_accuracy=0.8853220338983051
split=1000, train_len=1000, eval_len=59000, epoch=3, train_accuracy=1.0, eval_accuracy=0.8887796610169492
split=100, train_len=100, eval_len=59900, epoch=0, train_accuracy=0.31, eval_accuracy=0.6030050083472455
split=100, train_len=100, eval_len=59900, epoch=1, train_accuracy=1.0, eval_accuracy=0.6291986644407346
split=100, train_len=100, eval_len=59900, epoch=2, train_accuracy=1.0, eval_accuracy=0.634991652754591
split=100, train_len=100, eval_len=59900, epoch=3, train_accuracy=1.0, eval_accuracy=0.6367612687813021
