split=0.9, train_len=54000, eval_len=6000, epoch=3, train_accuracy=0.942037037037037, eval_accuracy=0.8995
split=0.1, train_len=6000, eval_len=54000, epoch=0, train_accuracy=0.6921666666666667, eval_accuracy=0.7555185185185185
split=0.1, train_len=6000, eval_len=54000, epoch=1, train_accuracy=0.8608333333333333, eval_accuracy=0.7832962962962963
split=0.1, train_len=6000, eval_len=54000, epoch=2, train_accuracy=0.9101666666666667, eval_accuracy=0.7994074074074075
split=0.1, train_len=6000, eval_len=54000, epoch=3, train_accuracy=0.9376666666666666, eval_accuracy=0.8074629629629629
split=0.2, train_len=12000, eval_len=48000, epoch=0, train_accuracy=0.7496666666666667, eval_accuracy=0.7931666666666667
split=0.2, train_len=12000, eval_len=48000, epoch=1, train_accuracy=0.8775, eval_accuracy=0.8227083333333334
split=0.2, train_len=12000, eval_len=48000, epoch=2, train_accuracy=0.9163333333333333, eval_accuracy=0.8350416666666667
split=0.2, train_len=12000, eval_len=48000, epoch=3, train_accuracy=0.9425, eval_accuracy=0.8404583333333333
split=0.5, train_len=30000, eval_len=30000, epoch=0, train_accuracy=0.7969333333333334, eval_accuracy=0.8442666666666667
split=0.5, train_len=30000, eval_len=30000, epoch=1, train_accuracy=0.8927666666666667, eval_accuracy=0.8648
split=0.5, train_len=30000, eval_len=30000, epoch=2, train_accuracy=0.9239, eval_accuracy=0.8723666666666666
split=0.5, train_len=30000, eval_len=30000, epoch=3, train_accuracy=0.943, eval_accuracy=0.876
split=0.8, train_len=48000, eval_len=12000, epoch=0, train_accuracy=0.8170208333333333, eval_accuracy=0.87075
split=0.8, train_len=48000, eval_len=12000, epoch=1, train_accuracy=0.90025, eval_accuracy=0.8859166666666667
split=0.8, train_len=48000, eval_len=12000, epoch=2, train_accuracy=0.9255625, eval_accuracy=0.8896666666666667
split=0.8, train_len=48000, eval_len=12000, epoch=3, train_accuracy=0.94225, eval_accuracy=0.8925833333333333
split=0.9, train_len=54000, eval_len=6000, epoch=0, train_accuracy=0.8221111111111111, eval_accuracy=0.8833333333333333
split=0.9, train_len=54000, eval_len=6000, epoch=1, train_accuracy=0.9017962962962963, eval_accuracy=0.8978333333333334
split=0.9, train_len=54000, eval_len=6000, epoch=2, train_accuracy=0.9255925925925926, eval_accuracy=0.9006666666666666
split=0.9, train_len=54000, eval_len=6000, epoch=3, train_accuracy=0.9416296296296296, eval_accuracy=0.9011666666666667
split=20, train_len=20, eval_len=59980, epoch=0, train_accuracy=0.1, eval_accuracy=0.13584528176058686
split=20, train_len=20, eval_len=59980, epoch=1, train_accuracy=1.0, eval_accuracy=0.16567189063021007
split=20, train_len=20, eval_len=59980, epoch=2, train_accuracy=1.0, eval_accuracy=0.18864621540513504
split=20, train_len=20, eval_len=59980, epoch=3, train_accuracy=1.0, eval_accuracy=0.20605201733911305
split=1000, train_len=1000, eval_len=59000, epoch=0, train_accuracy=0.473, eval_accuracy=0.6330508474576271
split=1000, train_len=1000, eval_len=59000, epoch=1, train_accuracy=0.923, eval_accuracy=0.6588983050847458
split=1000, train_len=1000, eval_len=59000, epoch=2, train_accuracy=0.953, eval_accuracy=0.6627118644067796
split=1000, train_len=1000, eval_len=59000, epoch=3, train_accuracy=0.961, eval_accuracy=0.6669152542372881
split=100, train_len=100, eval_len=59900, epoch=0, train_accuracy=0.13, eval_accuracy=0.2844073455759599
split=100, train_len=100, eval_len=59900, epoch=1, train_accuracy=0.97, eval_accuracy=0.3990651085141903
split=100, train_len=100, eval_len=59900, epoch=2, train_accuracy=1.0, eval_accuracy=0.4382804674457429
split=100, train_len=100, eval_len=59900, epoch=3, train_accuracy=1.0, eval_accuracy=0.45439065108514193
