split=0.9, train_len=54000, eval_len=6000, epoch=3, train_accuracy=0.9999074074074074, eval_accuracy=0.9845
split=0.1, train_len=6000, eval_len=54000, epoch=0, train_accuracy=0.9016666666666666, eval_accuracy=0.9411111111111111
split=0.1, train_len=6000, eval_len=54000, epoch=1, train_accuracy=0.9865, eval_accuracy=0.9509814814814814
split=0.1, train_len=6000, eval_len=54000, epoch=2, train_accuracy=0.9966666666666667, eval_accuracy=0.9530925925925926
split=0.1, train_len=6000, eval_len=54000, epoch=3, train_accuracy=0.9995, eval_accuracy=0.9535925925925925
split=0.2, train_len=12000, eval_len=48000, epoch=0, train_accuracy=0.9239166666666667, eval_accuracy=0.9575625
split=0.2, train_len=12000, eval_len=48000, epoch=1, train_accuracy=0.9894166666666667, eval_accuracy=0.962875
split=0.2, train_len=12000, eval_len=48000, epoch=2, train_accuracy=0.9985833333333334, eval_accuracy=0.9642916666666667
split=0.2, train_len=12000, eval_len=48000, epoch=3, train_accuracy=0.99975, eval_accuracy=0.9646666666666667
split=0.5, train_len=30000, eval_len=30000, epoch=0, train_accuracy=0.9502333333333334, eval_accuracy=0.9714
split=0.5, train_len=30000, eval_len=30000, epoch=1, train_accuracy=0.9929, eval_accuracy=0.9744
split=0.5, train_len=30000, eval_len=30000, epoch=2, train_accuracy=0.9991333333333333, eval_accuracy=0.9745333333333334
split=0.5, train_len=30000, eval_len=30000, epoch=3, train_accuracy=0.9999, eval_accuracy=0.9747
split=0.8, train_len=48000, eval_len=12000, epoch=0, train_accuracy=0.9589791666666667, eval_accuracy=0.977
split=0.8, train_len=48000, eval_len=12000, epoch=1, train_accuracy=0.9930416666666667, eval_accuracy=0.9798333333333333
split=0.8, train_len=48000, eval_len=12000, epoch=2, train_accuracy=0.9989375, eval_accuracy=0.9785833333333334
split=0.8, train_len=48000, eval_len=12000, epoch=3, train_accuracy=0.9999375, eval_accuracy=0.97875
split=0.9, train_len=54000, eval_len=6000, epoch=0, train_accuracy=0.960037037037037, eval_accuracy=0.9853333333333333
split=0.9, train_len=54000, eval_len=6000, epoch=1, train_accuracy=0.993462962962963, eval_accuracy=0.985
split=0.9, train_len=54000, eval_len=6000, epoch=2, train_accuracy=0.9988333333333334, eval_accuracy=0.9853333333333333
split=0.9, train_len=54000, eval_len=6000, epoch=3, train_accuracy=0.9998333333333334, eval_accuracy=0.985
split=20, train_len=20, eval_len=59980, epoch=0, train_accuracy=0.0, eval_accuracy=0.27940980326775594
split=20, train_len=20, eval_len=59980, epoch=1, train_accuracy=1.0, eval_accuracy=0.3729909969989997
split=20, train_len=20, eval_len=59980, epoch=2, train_accuracy=1.0, eval_accuracy=0.40643547849283096
split=20, train_len=20, eval_len=59980, epoch=3, train_accuracy=1.0, eval_accuracy=0.42137379126375457
split=100, train_len=100, eval_len=59900, epoch=0, train_accuracy=0.32, eval_accuracy=0.6077796327212021
split=100, train_len=100, eval_len=59900, epoch=1, train_accuracy=1.0, eval_accuracy=0.6444073455759599
split=100, train_len=100, eval_len=59900, epoch=2, train_accuracy=1.0, eval_accuracy=0.65110183639399
split=100, train_len=100, eval_len=59900, epoch=3, train_accuracy=1.0, eval_accuracy=0.6567779632721202
split=1000, train_len=1000, eval_len=59000, epoch=0, train_accuracy=0.721, eval_accuracy=0.8677288135593221
split=1000, train_len=1000, eval_len=59000, epoch=1, train_accuracy=0.98, eval_accuracy=0.8926440677966102
split=1000, train_len=1000, eval_len=59000, epoch=2, train_accuracy=0.997, eval_accuracy=0.8998135593220339
split=1000, train_len=1000, eval_len=59000, epoch=3, train_accuracy=1.0, eval_accuracy=0.9025084745762711
