split=0.1, train_len=6000, eval_len=54000, epoch=0, train_accuracy=0.6516666666666666, eval_accuracy=0.7155
split=0.1, train_len=6000, eval_len=54000, epoch=1, train_accuracy=0.76, eval_accuracy=0.7496111111111111
split=0.2, train_len=12000, eval_len=48000, epoch=0, train_accuracy=0.7038333333333333, eval_accuracy=0.7507083333333333
split=0.2, train_len=12000, eval_len=48000, epoch=1, train_accuracy=0.7923333333333333, eval_accuracy=0.7806666666666666
split=0.5, train_len=30000, eval_len=30000, epoch=0, train_accuracy=0.7428, eval_accuracy=0.7918333333333333
split=0.5, train_len=30000, eval_len=30000, epoch=1, train_accuracy=0.8129333333333333, eval_accuracy=0.81
split=0.8, train_len=48000, eval_len=12000, epoch=0, train_accuracy=0.7661666666666667, eval_accuracy=0.81225
split=0.8, train_len=48000, eval_len=12000, epoch=1, train_accuracy=0.8217708333333333, eval_accuracy=0.82725
split=0.9, train_len=54000, eval_len=6000, epoch=0, train_accuracy=0.7698888888888888, eval_accuracy=0.83
split=0.9, train_len=54000, eval_len=6000, epoch=1, train_accuracy=0.8223888888888888, eval_accuracy=0.8416666666666667
split=0.1, train_len=6000, eval_len=54000, epoch=0, train_accuracy=0.653, eval_accuracy=0.7135925925925926
split=0.1, train_len=6000, eval_len=54000, epoch=1, train_accuracy=0.7583333333333333, eval_accuracy=0.7503703703703704
split=0.1, train_len=6000, eval_len=54000, epoch=2, train_accuracy=0.7906666666666666, eval_accuracy=0.7677592592592593
split=0.1, train_len=6000, eval_len=54000, epoch=3, train_accuracy=0.8083333333333333, eval_accuracy=0.7786296296296297
split=0.8, train_len=48000, eval_len=12000, epoch=0, train_accuracy=0.7633333333333333, eval_accuracy=0.8115833333333333
split=0.8, train_len=48000, eval_len=12000, epoch=1, train_accuracy=0.8213958333333333, eval_accuracy=0.8250833333333333
split=0.8, train_len=48000, eval_len=12000, epoch=2, train_accuracy=0.8320416666666667, eval_accuracy=0.832
split=0.8, train_len=48000, eval_len=12000, epoch=3, train_accuracy=0.8377083333333334, eval_accuracy=0.8334166666666667
